date,events
2013-05-12,Dia de la Madre
2014-05-11,Dia de la Madre
2014-06-12,futbol
2014-06-15,futbol
2014-06-20,futbol
2014-06-25,futbol
2014-06-28,futbol
2014-06-29,futbol
2014-06-30,futbol
2014-07-01,futbol
2014-07-04,futbol
2014-07-05,futbol
2014-07-08,futbol
2014-07-09,futbol
2014-07-12,futbol
2014-07-13,futbol
2014-11-28,Black Friday
2014-12-01,Cyber Monday
2015-05-10,Dia de la Madre
2015-11-27,Black Friday
2015-11-30,Cyber Monday
2016-04-16,Terremoto Manabi
2016-04-17,Terremoto Manabi
2016-04-18,Terremoto Manabi
2016-04-19,Terremoto Manabi
2016-04-20,Terremoto Manabi
2016-04-21,Terremoto Manabi
2016-04-22,Terremoto Manabi
2016-04-23,Terremoto Manabi
2016-04-24,Terremoto Manabi
2016-04-25,Terremoto Manabi
2016-04-26,Terremoto Manabi
2016-04-27,Terremoto Manabi
2016-04-28,Terremoto Manabi
2016-04-29,Terremoto Manabi
2016-04-30,Terremoto Manabi
2016-05-01,Terremoto Manabi
2016-05-02,Terremoto Manabi
2016-05-03,Terremoto Manabi
2016-05-04,Terremoto Manabi
2016-05-05,Terremoto Manabi
2016-05-06,Terremoto Manabi
2016-05-07,Terremoto Manabi
2016-05-08,Terremoto Manabi
2016-05-08,Dia de la Madre
2016-05-09,Terremoto Manabi
2016-05-10,Terremoto Manabi
2016-05-11,Terremoto Manabi
2016-05-12,Terremoto Manabi
2016-05-13,Terremoto Manabi
2016-05-14,Terremoto Manabi
2016-05-15,Terremoto Manabi
2016-05-16,Terremoto Manabi
2016-11-25,Black Friday
2016-11-28,Cyber Monday
2017-05-14,Dia de la Madre
