date,holiday_national
2013-01-01,Primer dia del ano
2013-02-11,Carnaval
2013-02-12,Carnaval
2013-04-29,Viernes Santo
2013-05-01,Dia del Trabajo
2013-05-11,Dia de la Madre
2013-05-24,Batalla de Pichincha
2013-08-10,Primer Grito de Independencia
2013-11-02,Dia de Difuntos
2013-11-03,Independencia de Cuenca
2013-12-21,Navidad
2013-12-22,Navidad
2013-12-23,Navidad
2013-12-24,Navidad
2013-12-25,Navidad
2013-12-26,Navidad
2013-12-31,Primer dia del ano
2014-01-01,Primer dia del ano
2014-03-03,Carnaval
2014-03-04,Carnaval
2014-04-18,Viernes Santo
2014-05-01,Dia del Trabajo
2014-05-10,Dia de la Madre
2014-05-24,Batalla de Pichincha
2014-08-10,Primer Grito de Independencia
2014-11-02,Dia de Difuntos
2014-11-03,Independencia de Cuenca
2014-12-21,Navidad
2014-12-22,Navidad
2014-12-23,Navidad
2014-12-24,Navidad
2014-12-25,Navidad
2014-12-26,Navidad
2014-12-31,Primer dia del ano
2015-01-01,Primer dia del ano
2015-01-02,Primer dia del ano
2015-02-16,Carnaval
2015-02-17,Carnaval
2015-04-03,Viernes Santo
2015-05-01,Dia del Trabajo
2015-05-09,Dia de la Madre
2015-05-24,Batalla de Pichincha
2015-08-10,Primer Grito de Independencia
2015-10-09,Independencia de Guayaquil
2015-11-02,Dia de Difuntos
2015-11-03,Independencia de Cuenca
2015-12-21,Navidad
2015-12-22,Navidad
2015-12-23,Navidad
2015-12-24,Navidad
2015-12-25,Navidad
2015-12-26,Navidad
2015-12-31,Primer dia del ano
2016-01-01,Primer dia del ano
2016-02-08,Carnaval
2016-02-09,Carnaval
2016-03-25,Viernes Santo
2016-05-01,Dia del Trabajo
2016-05-07,Dia de la Madre
2016-10-09,Independencia de Guayaquil
2016-11-02,Dia de Difuntos
2016-11-03,Independencia de Cuenca
2016-11-04,Dia de Difuntos
2016-12-21,Navidad
2016-12-22,Navidad
2016-12-23,Navidad
2016-12-24,Navidad
2016-12-25,Navidad
2016-12-26,Navidad
2016-12-31,Primer dia del ano
2017-02-27,Carnaval
2017-02-28,Carnaval
2017-04-14,Viernes Santo
2017-05-01,Dia del Trabajo
2017-05-13,Dia de la Madre
2013-10-11,Independencia de Guayaquil
2014-10-10,Independencia de Guayaquil
2016-05-27,Batalla de Pichincha
2016-08-12,Primer Grito de Independencia
2017-01-02,Primer dia del ano
2017-05-26,Batalla de Pichincha
2017-08-11,Primer Grito de Independencia
2017-01-01,Primer dia del ano
