date,state,holiday_regional
2013-04-01,Cotopaxi,Provinicializacion
2013-06-25,Imbabura,Provinicializacion
2013-11-06,Santo Domingo de los Tsachilas,Provinicializacion
2013-11-07,Santa Elena,Provinicializacion
2014-04-01,Cotopaxi,Provinicializacion
2014-06-25,Imbabura,Provinicializacion
2014-11-06,Santo Domingo de los Tsachilas,Provinicializacion
2014-11-07,Santa Elena,Provinicializacion
2015-04-01,Cotopaxi,Provinicializacion
2015-06-25,Imbabura,Provinicializacion
2015-11-06,Santo Domingo de los Tsachilas,Provinicializacion
2015-11-07,Santa Elena,Provinicializacion
2016-04-01,Cotopaxi,Provinicializacion
2016-06-25,Imbabura,Provinicializacion
2016-11-06,Santo Domingo de los Tsachilas,Provinicializacion
2016-11-07,Santa Elena,Provinicializacion
2017-04-01,Cotopaxi,Provinicializacion
2017-06-25,Imbabura,Provinicializacion
